"","zip","FDID","name","address","city","state","location","latitude","longitude","geometry"
"95","92118","37045","Coronado Fire Department","1001 6TH ST","Coronado","CA","1001 6TH ST Coronado, CA 92118",32.682727,-117.17441,c(-117.17441, 32.682727)
"96","92123","37047","San Diego County Fire Authority","5510 Overland Drive","San Diego","CA","5510 Overland Drive San Diego, CA 92123",32.803799,-117.13595,c(-117.13595, 32.803799)
"97","92138","37818","CNRSW Federal Fire Department","PO Box 81226","San Diego","CA","PO Box 81226 San Diego, CA 92138",33.016928,-116.846046,c(-116.846046, 33.016928)
"98","92145","37811","Miramar Fire Department","PO Box 452006","San Diego","CA","PO Box 452006 San Diego, CA 92145",32.889139,-117.100486,c(-117.100486, 32.889139)
"99","92179","37410","R.J. Donovan Correctional Facility Fire Department","480 Alta RD","San Diego","CA","480 Alta RD San Diego, CA 92179",32.572602,-116.918724,c(-116.918724, 32.572602)
"100","92201","33050","Indio Fire Service","46-990 Jackson ST","Indio","CA","46-990 Jackson ST Indio, CA 92201",33.715271,-116.235,c(-116.235, 33.715271)
"101","92203","33021","Cabazon Tribal Fire Department","84245 Indio Springs  PKWY","Indio","CA","84245 Indio Springs  PKWY Indio, CA 92203",33.75307,-116.24688,c(-116.24688, 33.75307)
"102","92210","33100","Indian Wells Fire Service","44-900 El Dorado DR","Indian Wells","CA","44-900 El Dorado DR Indian Wells, CA 92210",33.70129,-116.34148,c(-116.34148, 33.70129)
"103","92220","33053","Morongo Fire Department","11581 Potrero RD","Banning","CA","11581 Potrero RD Banning, CA 92220",33.920803,-116.87897,c(-116.87897, 33.920803)
"104","92220","33005","Banning Fire Service","172 N Murray ST","Banning","CA","172 N Murray ST Banning, CA 92220",33.920803,-116.87897,c(-116.87897, 33.920803)
"105","92220","33016","Calimesa Fire Service","PO Box 998","Banning","CA","PO Box 998 Banning, CA 92220",33.920803,-116.87897,c(-116.87897, 33.920803)
"106","92220","33010","Beaumont Fire Service","PO Box 998","Banning","CA","PO Box 998 Banning, CA 92220",33.920803,-116.87897,c(-116.87897, 33.920803)
"107","92225","33415","Chuckawalla/Ironwood Fire Department","19025 Wiley's Well RD","Blythe","CA","19025 Wiley's Well RD Blythe, CA 92225",33.628333,-114.61905,c(-114.61905, 33.628333)
"108","92227","13005","City of Brawley Fire Department","1505 Jones ST","Brawley","CA","1505 Jones ST Brawley, CA 92227",32.98975,-115.50475,c(-115.50475, 32.98975)
